"Character Name"	"Last Seen"	"Roles"
"0zIRIS"	"Online"	""
"1Nymn"	"Online"	""
"Aeriaa"	"Online"	""
"aimfrzz"	"Online"	""
"AlvinNs"	"Online"	""
"Arrmansss"	"Online"	""
"Art3Val"	"Online"	""
"Astalavista"	"Online"	""
"Autchwizty"	"Online"	""
"BannedHUB"	"Online"	""
"BERLX"	"Online"	""
"BestvaKi"	"Online"	""
"beyazprens"	"Online"	""
"Bugba"	"Online"	""
"BYdoktor005"	"Online"	""
"C0RC"	"Online"	"Recruit"
"c0rty"	"Online"	""
"chillsnotskills"	"Online"	""
"Cirjin"	"Online"	""
"CopyBebek"	"Online"	""
"DarkisShiny"	"Online"	""
"DEVRANSUNAL"	"Online"	""
"DragMeToHeLL"	"Online"	""
"drdeve"	"Online"	""
"DrenDjango"	"Online"	""
"Dukka"	"Online"	""
"EnesCKR"	"Online"	"The Right Hand"
"FairEvrenXD"	"Online"	""
"feidrev"	"Online"	""
"Fraosary"	"Online"	""
"GeeWhyTea"	"Online"	"Guardsman"
"Gulliver09"	"Online"	""
"Gurora"	"Online"	""
"IMPARATHOR"	"Online"	""
"Jhanned"	"Online"	""
"Jnos"	"Online"	""
"KavuncuRecep"	"Online"	""
"Kazahel"	"Online"	""
"kenflna07"	"Online"	""
"KisukeUraharaa"	"Online"	""
"Kokurou"	"Online"	""
"KsKsrkn"	"Online"	""
"Kyojin"	"Online"	""
"Levent"	"Online"	""
"lFeOl"	"Online"	""
"Linquar"	"Online"	""
"lRookiee"	"Online"	""
"MolweyN"	"Online"	""
"Nerfade"	"Online"	""
"novarga"	"Online"	""
"Osuruk"	"Online"	""
"PhantomKnight"	"Online"	"Officer;Guardsman"
"Phyzeix"	"Online"	""
"Psycoo"	"Online"	""
"R4zinax"	"Online"	""
"Razory"	"Online"	""
"RedAlerts"	"Online"	""
"Reflection"	"Online"	""
"RwKUNT"	"Online"	""
"SarilarinSulo"	"Online"	""
"SenkaRona"	"Online"	"Officer;Recruit;Guardsman"
"shader07"	"Online"	""
"shiro2K"	"Online"	""
"soskqwww"	"Online"	""
"swiftness1melon"	"Online"	""
"TankTR"	"Online"	""
"TheCakir"	"Online"	"Officer;The Right Hand;Guardsman"
"thefaket"	"Online"	""
"THEFLOR"	"Online"	""
"Tsugtsvang"	"Online"	""
"UnKNowNLoVe"	"Online"	""
"urgotzs"	"Online"	""
"VictiriX"	"Online"	""
"VORvZAKONE"	"Online"	""
"Weedfect"	"Online"	""
"WReady"	"Online"	""
"Y4nkee"	"Online"	""
"yetoxd"	"Online"	""
"YorumYOK"	"Online"	""
"104"	"07/01/2025 03:31:24"	""
"15milyon"	"07/01/2025 17:53:49"	""
"1Kahramann"	"06/30/2025 20:21:08"	""
"31cektiren"	"06/22/2025 16:54:58"	""
"3cmsik"	"06/07/2025 18:32:33"	""
"4Leonardo"	"06/17/2025 21:14:46"	""
"7incioscar"	"06/30/2025 21:59:03"	""
"AcHoRV3"	"07/01/2025 14:10:21"	""
"AgahBEYOGLU"	"06/29/2025 11:37:57"	""
"alahtar23"	"07/01/2025 10:00:01"	""
"Apsu"	"06/29/2025 02:31:36"	""
"ArthurDaynee"	"06/30/2025 06:42:05"	""
"ArtIsAgainBack"	"06/12/2025 18:55:52"	""
"Asuma"	"07/01/2025 13:50:12"	""
"Axelaxy"	"06/16/2025 11:19:04"	""
"balbazar07"	"07/01/2025 13:01:14"	""
"BALDIZPATLATAN31"	"06/30/2025 20:17:31"	""
"BatuhanPasa"	"06/30/2025 20:44:47"	""
"batuu23"	"06/29/2025 07:51:34"	""
"bekooben"	"07/01/2025 17:24:26"	""
"BETTSUNAL"	"06/28/2025 22:47:28"	""
"BILALCAN"	"06/30/2025 22:07:33"	""
"BlindBullet"	"06/18/2025 23:42:06"	""
"BVBGotze"	"07/01/2025 17:51:38"	""
"Cane21"	"07/01/2025 15:43:02"	""
"Cannaf38"	"07/01/2025 17:06:27"	""
"Charrly"	"06/14/2025 18:47:39"	""
"chiara2"	"07/01/2025 17:36:08"	""
"Chiyoo"	"06/22/2025 19:26:43"	""
"Citius"	"07/01/2025 11:04:58"	"Recruit"
"Clastpy"	"06/25/2025 19:34:57"	""
"CLaven"	"07/01/2025 18:13:24"	""
"Crowe"	"07/01/2025 08:17:49"	""
"DanDikDeDe"	"06/25/2025 14:38:07"	""
"DELpieroHikmet61"	"06/30/2025 21:11:36"	""
"Demirah"	"05/30/2025 12:03:32"	""
"DemiryurekTr"	"07/01/2025 14:35:06"	""
"Didiiiiiii"	"06/30/2025 20:57:32"	""
"DionyTaken"	"06/04/2025 12:49:39"	""
"DoctorTR"	"06/24/2025 19:27:59"	"Guardsman"
"dogu23"	"06/23/2025 00:45:20"	""
"Doombane"	"06/22/2025 09:01:00"	""
"Dwight1"	"07/01/2025 15:57:05"	""
"Dzhanev"	"06/27/2025 21:32:04"	""
"Ednap"	"07/01/2025 15:25:18"	""
"elvishky"	"06/19/2025 00:31:27"	""
"emireriskin"	"06/25/2025 12:00:18"	""
"enesyildiz"	"07/01/2025 09:41:59"	""
"Enterworld"	"07/01/2025 15:38:38"	""
"FirinciAbdullah"	"07/01/2025 11:53:56"	""
"Frynx"	"07/01/2025 18:08:26"	""
"Furinass"	"07/01/2025 01:06:13"	""
"Gakgora"	"07/01/2025 12:56:37"	""
"GeraltTheWarrior"	"06/21/2025 18:43:34"	""
"gloryLeL"	"06/26/2025 19:53:13"	""
"Godzilla"	"06/30/2025 17:55:27"	""
"Goldiyar7"	"06/25/2025 18:00:58"	""
"Hamsikun"	"06/17/2025 17:15:51"	""
"HarleyWisted2"	"07/01/2025 13:31:27"	""
"hendoricson"	"07/01/2025 16:49:22"	"Recruit"
"Hyterion"	"06/21/2025 15:50:56"	""
"HzKaira"	"07/01/2025 15:30:13"	""
"I0I"	"07/01/2025 17:35:32"	""
"ibrahimbey"	"07/01/2025 11:23:32"	""
"ICANNOTxSEE"	"06/22/2025 17:16:15"	""
"ilkerus"	"07/01/2025 15:47:04"	""
"iNacreS"	"06/22/2025 21:23:07"	""
"IRPHAN"	"07/01/2025 17:38:55"	""
"ismayil"	"07/01/2025 13:23:52"	""
"ixmista"	"06/14/2025 02:53:20"	""
"JacqL"	"06/14/2025 18:48:57"	""
"Jerwi"	"07/01/2025 12:53:51"	""
"Kaboomerr"	"06/30/2025 21:58:50"	""
"KADINDOVENN"	"07/01/2025 14:41:31"	""
"Karabiberim"	"06/10/2025 19:25:45"	""
"KaskosuzSahin"	"06/06/2025 14:28:59"	""
"Katedrall"	"06/30/2025 08:21:39"	""
"Kharry"	"06/30/2025 21:14:47"	""
"kireman"	"07/01/2025 00:08:59"	""
"KonyaliGergedan"	"07/01/2025 11:45:22"	""
"Kryzie"	"06/30/2025 22:36:15"	""
"kubilaybaba"	"07/01/2025 10:53:25"	""
"Kypran"	"06/30/2025 13:15:06"	""
"leafy"	"06/28/2025 20:30:13"	""
"LeviAc"	"07/01/2025 18:04:47"	""
"LorDream"	"07/01/2025 09:59:35"	""
"LuBuL"	"06/29/2025 20:35:42"	""
"Luciansxde"	"06/25/2025 22:35:02"	""
"Machida"	"06/27/2025 05:44:25"	""
"Melik00"	"06/05/2025 14:58:33"	""
"MistikDURDEN"	"06/30/2025 21:20:08"	""
"MUCO"	"06/03/2025 22:57:15"	""
"MutluOyuncu"	"07/01/2025 17:17:45"	""
"narkos33"	"07/01/2025 13:32:45"	""
"NefExal"	"06/30/2025 22:18:39"	""
"Nemesis2779"	"07/01/2025 15:53:30"	""
"NightFlank"	"06/25/2025 15:06:16"	""
"Niutari"	"06/29/2025 18:48:42"	""
"NoGass"	"07/01/2025 14:56:49"	"Recruit"
"Oldd"	"06/10/2025 11:42:19"	""
"OttoDoriaN"	"06/30/2025 23:01:49"	""
"PandaTR8"	"07/01/2025 17:29:39"	""
"PoncikKatil"	"06/27/2025 17:25:34"	""
"RakunBey"	"06/29/2025 14:08:39"	""
"Ripred"	"06/20/2025 21:01:14"	"Recruit"
"Rivenn"	"06/19/2025 08:40:37"	""
"Rwmydear"	"07/01/2025 04:21:17"	""
"SaclarimOnline"	"07/01/2025 16:25:50"	""
"samidemir"	"06/29/2025 09:10:11"	""
"SeAvO"	"07/01/2025 16:44:36"	""
"SefilKovboy"	"07/01/2025 17:55:25"	""
"seven721"	"06/30/2025 21:15:48"	""
"sivasingulu"	"07/01/2025 15:10:17"	""
"SmileTime"	"07/01/2025 17:23:55"	""
"Spactr"	"07/01/2025 15:49:03"	""
"SuddenDeath28"	"06/24/2025 17:01:50"	""
"Supportology"	"07/01/2025 11:06:16"	""
"SwordOfTheGod"	"06/17/2025 05:15:23"	""
"sylunessssssssss"	"06/16/2025 13:11:37"	""
"Tanez"	"07/01/2025 11:39:51"	"Officer"
"tangaliserseri"	"07/01/2025 16:02:17"	""
"Tassagun"	"06/30/2025 19:31:21"	""
"Temurax"	"06/28/2025 14:34:37"	"Recruit"
"TigerXecutioner"	"06/30/2025 16:50:57"	"Recruit"
"Tiran"	"07/01/2025 08:34:30"	""
"TitaniaBerserk"	"06/26/2025 07:10:49"	""
"tito1"	"07/01/2025 06:03:22"	""
"Toryys"	"06/26/2025 17:04:36"	""
"TOXY2W"	"07/01/2025 18:10:44"	""
"TRABZONSPOR"	"07/01/2025 10:37:06"	"Guild Master"
"tuglybabus"	"07/01/2025 17:06:22"	""
"turkesterone"	"06/18/2025 22:01:21"	""
"UnK07"	"06/22/2025 23:34:04"	""
"Vegvsir"	"06/28/2025 12:20:43"	""
"Voprez"	"07/01/2025 16:03:31"	""
"WhisperX"	"07/01/2025 00:29:38"	"Recruit"
"Xenvera"	"06/13/2025 01:35:30"	""
"Xione"	"06/30/2025 17:13:04"	""
"yanilgi"	"07/01/2025 01:49:38"	""
"Yasamadim"	"06/28/2025 14:09:28"	""
"Yes0"	"06/26/2025 11:36:28"	""
"Yuffus"	"06/28/2025 14:35:09"	""
"YusufCavdar"	"06/08/2025 14:28:16"	""
"Zenekian"	"06/25/2025 17:06:26"	""
"ZenX"	"07/01/2025 15:06:17"	""
"zombiumut"	"06/30/2025 21:18:46"	""
"zRedioV"	"07/01/2025 03:56:55"	""
