player_name,dodge_count,skip_count,avarage_dodge_time
15milyon,0,1,0
AcHoRV3,0,1,0
Arrmansss,0,1,0
BannedHUB,0,1,0
Byybrother,0,1,0
chiara2,0,1,0
CLaven,0,1,0
emireriskin,0,1,0
FirinciAbdullah,0,1,0
IRPHAN,0,1,0
Kyojin,0,1,0
lFeOl,0,1,0
Osuruk,0,1,0
Psycoo,0,1,0
SaclarimOnline,0,1,0
SarilarinSulo,0,1,0
sartonfalka,0,1,0
swiftness1melon,0,1,0
tangaliserseri,0,1,0
VORvZAKONE,0,1,0
BatuFlexx,1,0,34
Bugba,1,0,40
CopyBebek,1,0,17
drdeve,1,0,21
Dukka,1,0,56
hendoricson,1,0,6
ilkerus,1,0,36
Jhanned,1,0,22
KavuncuRecep,1,0,17
Kypran,1,0,37
n0varga,1,0,45
RakunBey,1,0,12
RwKUNT,1,0,48
SeAvO,1,0,48
THEFLOR,1,0,31
TOXY2W,1,0,52
urgotzs,1,0,56
Y4nkee,1,0,21
YorumYOK,1,0,6
